ID,Year,View Count,Length (s),Likes
v1w1bvsMt8s,2013,200377,702.0,3867
qMkYlIA7mgw,2013,27006549,282.0,302388
Aj0ftqTGMiM,2013,232232,36.0,3145
JsWxLX6mfN8,2013,326483,31.0,31
KfWNOnns1FM,2013,1815,258.0,2
O2hO4_UEe-4,2013,9565097,401.0,201619
GOiIxqcbzyM,2013,2398149,356.0,58259
M1ShuAEIfGw,2013,251213,136.0,1313
ptHIA5bMnio,2013,254079,230.0,465
d8-KzVHkMaU,2013,577617,287.0,3094
n5pVz6yJkIk,2013,2156,147.0,5
2xlQKl5hYZU,2013,2063543,189.0,44028
wwsQ3BpANjI,2013,2269,114.0,10
Txf5_vYJuzw,2013,255279,182.0,579
Pb8kUvKcVTw,2013,1149850,165.0,4138
z_kx-BSIJb0,2013,373638,1456.0,11228
3DYZuZUQVdc,2013,1203685,166.0,13730
0X3VnZahlIA,2013,1380,156.0,1
LnyE0SzHT_E,2013,32136,489.0,114
0jvSDe_qTo4,2013,317,16.0,5
bCtrgD5Ns7Q,2013,2221,196.0,4
NXAkq0GgMXE,2013,1149,24.0,5
xsuxbwdRZz0,2013,45596,187.0,152
Dv1YnSOVBjs,2013,270899,326.0,948
EwqJRKn1QXc,2013,548421,277.0,2187
Hi19UW_CQnw,2013,1218,305.0,1
EhOywAqm4iM,2013,976,114.0,21
9Xas3mPE8aU,2013,3222,145.0,74
BJIZPocqIxU,2013,485,35.0,10
jZLr22O9dDM,2013,526,33.0,8
KD0d9pF36Dc,2013,68269,250.0,932
Pv6AqfoDilk,2013,2830,244.0,5
wFg1I6ciKew,2013,1323,70.0,2
K4M5j2TtIKM,2013,208190,197.0,2318
Q08qeOsiJPc,2013,2961843,41.0,21
fZ-7Bp9VMts,2013,224259,975.0,652
WQtT_tHxFFI,2013,1119,138.0,6
dB_fM8jsbGU,2013,202418,234.0,3512
sKpvraF_a9I,2013,3201,228.0,64
WQtT_tHxFFI,2013,1119,138.0,6
sKpvraF_a9I,2013,3201,228.0,64
cNesA10y9ZY,2013,1335,208.0,2
cVijLHcM5yo,2013,7172,284.0,151
oGSVWC3pC-8,2013,3944,266.0,103
MxY60MtWywA,2013,19203,223.0,250
K1jxqoVYJgA,2013,764,219.0,24
3SM4u0bOlJk,2013,1330,249.0,40
BPFeNJA-w5A,2013,26755,490.0,198
eX5ndNVzZVU,2013,1092,219.0,6
ZgQbL0X2u5c,2013,19927,294.0,196
oQXZ5IFyrgw,2013,285080,357.0,617
DnH1Zo9M9BQ,2013,1824,367.0,36
6FHxy3hXIdo,2013,1022,36.0,13
rytcO1hD1aM,2013,240751,861.0,5781
Ks_mSqy1FPQ,2013,404,234.0,3
-HJK5MswFrs,2013,1515,278.0,3
CfHyJVRGRRs,2013,5178,277.0,18
pbjfgA0wipM,2013,1174955,405.0,11229
vffzwXkrIJk,2013,276975,998.0,2796
kemmqFO6yrU,2013,3899,479.0,42
-uga7AkXn3M,2013,25431,348.0,154
iPpwToNBp_4,2013,683,292.0,2
D7gZ0kNpFR8,2013,520814,1240.0,2207
o4Y4wvzVQk4,2013,580,172.0,13
sCXpVZro6qk,2013,67177,181.0,424
5LeqCp-iYgE,2013,10004,128.0,24
JQQxJxT9pok,2013,1739993,209.0,15953
UazV9qYkSCc,2013,1561,289.0,6
BFGeY_XwI0Q,2013,15674,19.0,67
b10crrF894s,2013,1459,268.0,5
NQv4fzme1bQ,2013,402304,268.0,14732
KkvjnXNLfP8,2013,666,38.0,12
T58bScSGFvE,2013,781,99.0,17
GZfOWXuCWNc,2013,9587,24.0,12
ercfS9AaypA,2013,327,37.0,16
Ox0vjZbUlnM,2013,1471,220.0,2
FGxZ38uPVCg,2013,2762,41.0,20
lhhh3In3IAo,2013,555,35.0,9
H1sU2QRms2Q,2013,272,17.0,6
B1c6fLErrKU,2013,400,51.0,8
9gpufRSEhtA,2013,706032,86.0,853
I0GoQIvgzlg,2013,652,23.0,4
u7XUXBitato,2013,65639,774.0,702
LITgawQ21-A,2013,293527,330.0,580
4jQF_FUevhY,2013,862,21.0,6
thWqreAj0QA,2013,24683,120.0,198
cXX1VvBRaNQ,2013,417,35.0,4
nxbXSxCv2PM,2013,323,26.0,4
hhAYyX9fq_0,2013,3786,26.0,40
-rnx-I2HROg,2013,446206,145.0,93
ERFyHc8AeZ0,2013,3087,148.0,56
OIcPjHtHyZo,2013,6875,158.0,50
uG4-aywuOnY,2013,974,107.0,7
ss4l_Ck1Yws,2013,5324,215.0,55
-xva6lwpYJI,2013,4504,226.0,58
15njarQwd8E,2013,1784,430.0,46
zHtw-7z3S5k,2013,3076,228.0,62
4S6AyUBLM9I,2013,9592,219.0,63
FD2MroMsvdA,2013,40770,427.0,363
trH4iuebjjI,2013,395149,673.0,1462
Fqzrpr2lgkY,2013,2764,192.0,6
63o36KdQ19c,2013,52003,261.0,645
O0LdTjxTCWU,2013,5363,204.0,30
mpZ5chCpnng,2013,5048,255.0,26
U2w3MpYXS0M,2013,5534,235.0,42
WmLdqQ_oHY4,2013,63998,482.0,587
F0I3RyCGeP0,2013,29296,290.0,322
Hs5NnUC2JtY,2013,10169,223.0,142
63o36KdQ19c,2013,52003,261.0,645
O0LdTjxTCWU,2013,5363,204.0,30
mpZ5chCpnng,2013,5048,255.0,26
U2w3MpYXS0M,2013,5534,235.0,42
WmLdqQ_oHY4,2013,63998,482.0,587
F0I3RyCGeP0,2013,29296,290.0,322
Hs5NnUC2JtY,2013,10169,223.0,142
VR0LgXfy6eA,2013,57335,953.0,541
Zx4mNavgoV8,2013,23520,154.0,216
EB_ccH738tQ,2013,22734,210.0,167
MZE8f33K__8,2013,9636,320.0,139
DFTulazZFEQ,2013,20539,217.0,176
uX2HOyOz4YE,2013,710,40.0,37
N7GTBRWJHiA,2013,15674,190.0,113
zexskHmyw3w,2013,297675,634.0,6177
lcIBq9ieXBA,2013,35547,1242.0,70
ZggdnWjuRJI,2013,1072,358.0,8
2B2AjQhRRb0,2013,883113,623.0,16954
CBWT-yzLlU8,2013,236992,458.0,3059
um6vvJ5FOc0,2013,685,275.0,19
BNIb_FUQ_Xc,2013,518,16.0,2
7r8o3FlcdAA,2013,1062,51.0,1
mHHN1f88Kdc,2013,1022,37.0,14
HmcXO1S9bIk,2013,684,24.0,5
1lJ-Q4Rn1Ig,2013,54628,849.0,547
Qf_VBwsdRhc,2013,606,50.0,18
3SM4u0bOlJk,2013,1330,249.0,40
BPFeNJA-w5A,2013,26755,490.0,198
1lJ-Q4Rn1Ig,2013,54628,849.0,547
um6vvJ5FOc0,2013,685,275.0,19
hjo7f6DYXZw,2013,1331,308.0,18
Qf_VBwsdRhc,2013,606,50.0,18
BDiyZ2vqna8,2013,1034,10.0,5
98-I4J9HJQI,2014,472815,320.0,5040
PM79Epw_cp8,2014,6701944,240.0,124176
gch-KBzLLyg,2014,254454,31.0,18
PscM5nn39y0,2014,386223,116.0,46
B_02SdGwBv4,2014,8651,122.0,13
h7L6CbOaIEg,2014,709445,464.0,12825
wNUD3JeKcl4,2014,304652,334.0,9005
5VolhQCqq9c,2014,2864,64.0,5
3EVTUxJtiGk,2014,2181,124.0,13
tRFt_bO8mIs,2014,229767,209.0,4334
QQDXDMwUJiA,2014,5595,58.0,13
kCoXkjWL0dQ,2014,1460,120.0,4
wVXpHwgPHL0,2014,1062,155.0,3
semyy_C-Nts,2014,277887,215.0,2228
adgiFKJKHLc,2014,12694,216.0,61
g4HJwLnPQAE,2014,7602,64.0,8
rP1LeyN90D8,2014,1233,71.0,6
-5j0EBDVHL8,2014,184068,449.0,2619
yFZ_HAj7WuU,2014,2080,152.0,10
XuI6N4OmNcw,2014,5427,166.0,13
-5DMlABmcZ8,2014,1785,159.0,14
Vsk9aVWY5nw,2014,334308,201.0,5163
5FtUg5THk9Y,2014,698,40.0,25
WIH-JoPCSiM,2014,12149,161.0,517
iCj8WbLyhT0,2014,41895,49.0,255
7dEe-wPe-FE,2014,304456,98.0,4794
qwYDXwg4A7M,2014,258,133.0,20
qP8aOWZU9wk,2014,160,30.0,13
C5uR5tHq68Q,2014,1001,129.0,2
x2mQYdyzpOI,2014,198762,517.0,4755
3kydE9PW0H8,2014,1623492,228.0,1589
618NtOqlGDc,2014,8852,149.0,28
aqNw1nhZ-Xw,2014,507,282.0,27
BMjTNbK_5bs,2014,213,33.0,13
j7PfxbPaB8g,2014,25971,143.0,56
3_SoFPd-WIk,2014,451107,97.0,313
B6US_aeSQmY,2014,1349,6.0,28
8zyF3r-3eG4,2014,111555,166.0,309
fhI33a6rZLk,2014,1589,30.0,14
RHDG_rZtX68,2014,316963,214.0,6707
JX1ebvqMjOw,2014,100,162.0,2
x4obljO19-s,2014,607,100.0,22
TpW-3IUp3aI,2014,727796,180.0,13954
YrZBGnIeoMs,2014,5134,174.0,117
HF5AyR1ewFQ,2014,206461,607.0,7399
JX1ebvqMjOw,2014,100,162.0,2
x4obljO19-s,2014,607,100.0,22
YrZBGnIeoMs,2014,5134,174.0,117
C5ekagH8wJ8,2014,9106,158.0,24
Zk7WEK4Rkzk,2014,1529,89.0,4
6tpFcrp1ivM,2014,223822,105.0,541
AGF3RHnnueE,2014,1827,34.0,6
ZB8pm3IfAKw,2014,569,160.0,27
aEBK1r5fLp8,2014,469,266.0,17
nbaSMFNDybk,2014,4332,71.0,84
dsZ5fLVMLfI,2014,373,102.0,13
ljRFJz8idEY,2014,202436,800.0,0
WKdhttEl_BY,2014,424,173.0,3
rij-vUFqhcU,2014,386,219.0,7
SCnpGNLDzhU,2014,3081,178.0,14
E5BYD-9Ec1w,2014,1311,40.0,33
2OjNNtfembY,2014,1158,146.0,39
Rl9ukSfBSlQ,2014,1039,94.0,39
jn9SMDCTLl4,2014,185,187.0,13
PXht1CzxI9Y,2014,375,443.0,17
9MU5kuhGsU4,2014,161154,499.0,1135
_BJ9mGvFsG4,2014,778,295.0,3
wjIMWuBSvLA,2014,7647,320.0,61
-bR4WddD2_A,2014,890,184.0,51
I81rKJytYZI,2014,851,2422.0,5
7ylQzP-0g1s,2014,1010409,352.0,35849
D8lYPLwprYg,2014,172,67.0,17
ttTOj9yJU-U,2014,1591,140.0,58
z93kCj-E3X8,2014,495,311.0,21
7TMjvVxZqMk,2014,164,30.0,3
I6C255TtFPM,2014,428589,269.0,500
poEzICSDJ_c,2014,489,1707.0,21
pMw7Fogl6tY,2014,73017,3437.0,1076
qowXBUBI8hI,2014,628697,77.0,6194
d9AuP5jwvKc,2014,2768,35.0,59
I6KfzbqbFU8,2014,13535,7.0,100
B6kfaTXsFoM,2014,3501,27.0,50
4kLNfIRejXM,2014,726,47.0,8
EqlyEYOI754,2014,188651,600.0,1421
fiZtUPxh0N4,2014,2163799,382.0,7644
wUia0wo5Yc0,2014,603,40.0,4
UCT4U8N3s5Q,2014,153,89.0,19
vSeV6FroxlY,2014,262,49.0,5
3uCQxgE5iRk,2014,188567,262.0,2295
BNG4qfYt9Jg,2014,652,168.0,15
5ib0U5ws8gc,2014,254,60.0,7
zKy7a9xlCVQ,2014,322,202.0,14
DwmxpZWGG-g,2014,433875,410.0,2589
6lpWehZGr9E,2014,1132,298.0,25
oMJr6LcuSwc,2014,151925,356.0,717
q2USa_0LcnM,2014,600707,263.0,117
bjq8eGHbiCg,2014,6181,240.0,29
ZTvcmh5tuVI,2014,533,105.0,2
iLagcAx5TLI,2014,7138,91.0,33
LL6XmZKgJmY,2014,1094,3042.0,30
Lgw0iGxdcyk,2014,201808,255.0,3840
YMLEv3OKvYo,2014,18353,296.0,116
Qpwd4ExncyM,2014,6082,12.0,14
RYX4J_prhlI,2014,2634,67.0,62
M6z6-eq0RT8,2014,352752,131.0,783
jzR3XyHApfo,2014,14377,489.0,148
T3qn6XggHAs,2014,7224,367.0,156
RYX4J_prhlI,2014,2634,67.0,62
JNnavKi9FOs,2014,3662,150.0,26
86Yp6-xc6xw,2014,469541,214.0,3369
0jfyDEjPHZc,2014,5805,197.0,52
PwqPEFqGf10,2014,511394,1236.0,2031
EiN8TOjq1es,2014,843,193.0,11
HRw1eNERqyA,2014,2016,173.0,6
676Fl3nwn2k,2014,1314,153.0,6
RUP69rV-1PI,2014,7342,101.0,19
MgXFhLVV6QE,2014,463,295.0,6
xX81Hanv4yg,2014,1170,219.0,3
efMX9GAkCoA,2014,687,310.0,4
GUrlIwyr0vA,2014,419,59.0,4
opn4DZLt04Y,2014,511,60.0,2
d3FzG7jui3E,2014,428254,659.0,3606
zkrf31G1iBE,2014,4178,39.0,11
fnV6QCa-eHc,2014,15150,2483.0,73
SWiNL_FFyBg,2014,199946,1047.0,2882
r7__jtu877E,2014,89861,2244.0,220
keuhyaq1bDo,2014,31352,719.0,301
CeABOIb_18k,2014,4817,53.0,41
cgtaaKqvj6Q,2014,644731,832.0,805
ZnJbbfWkD3I,2014,2188,17.0,0
VrbqcbdkULQ,2014,162347,187.0,740
Hc5Dxwk35Jw,2014,756,37.0,3
HZ3kQIYoUsg,2014,447,30.0,3
1h5mFH3RRV8,2014,1698,40.0,15
floM739jj08,2014,397,24.0,4
NNFsCFi6yR4,2014,6271,20.0,18
DeX8vv5_3mo,2015,348986,34.0,607
jNgP6d9HraI,2015,17939640,518.0,288646
9NXIo6PIb5I,2015,35358409,254.0,461329
BF_RCRb15cY,2015,2448286,194.0,5599
JEYh5WACqEk,2015,11286735,728.0,269246
5H7hbK8i5-Y,2015,92205,202.0,936
ptMkEQhtEew,2015,38074,153.0,159
HH9niGE773o,2015,4328,159.0,29
xVqCSDyoFu4,2015,982708,152.0,131
Ky0XDMIXd2I,2015,190549,258.0,3743
GZqTrNwL2Dc,2015,3709,101.0,20
dreqaEMtRj4,2015,11340,93.0,13
LJyW-U35RWc,2015,390801,105.0,1381
qpj87cKaNh0,2015,965489,626.0,13085
hHzcy2KKYiQ,2015,461965,415.0,6295
-ZQZKOyqHe0,2015,220970,139.0,1221
1Dg4P3Mlo2g,2015,167730,371.0,3614
G-D0JQ2aZ5c,2015,4901539,533.0,29626
UvfCOOMhQ2o,2015,1518,112.0,63
VpqfGwj4R5M,2015,94160,16.0,119
xu_mRAU14dA,2015,29876,78.0,27
YsPMi8qNevo,2015,6672,76.0,23
O_fBKCpqGuI,2015,156826,214.0,367
kn0NnPQ6wBQ,2015,6288,204.0,68
zw9n-LOxLwU,2015,1216,68.0,9
SK_vzBFUhFs,2015,224497,76.0,690
MKAl8LxRQ3M,2015,113,10.0,8
3t0vtRN2vVk,2015,331420,826.0,3290
Dbg4QV_Q_c4,2015,1209390,548.0,18464
xR8gIMCMygM,2015,147701,47.0,101
LaQNi6V0l8o,2015,471280,254.0,7037
VSmtg0zYKc4,2015,710078,400.0,4722
hwDkQEOSo0Q,2015,77,11.0,4
RZLABK5GeJs,2015,5897,178.0,24
2fxOocW7wcw,2015,1312,281.0,12
5hkOUMJqw5c,2015,1502,115.0,43
bTVBqUFcnuM,2015,1585,211.0,2
Wgj4Z5TXv_E,2015,23644,232.0,19
ft-bMk4ji6E,2015,111042,332.0,2556
8_dg6I4h7Po,2015,10531,129.0,19
5eBZ-iqZ_SY,2015,657,64.0,7
eBORTSTGA_I,2015,1960565,146.0,8845
cxtdtuNXMWI,2015,868671,377.0,16743
aMnvQU-TLts,2015,225033,338.0,4180
ZBf2OS53f7s,2015,395495,81.0,442
ybsTg5-mVTs,2015,523029,738.0,2333
hHzcy2KKYiQ,2015,461965,415.0,6295
8SS19wziC-M,2015,66589,303.0,1108
jzXMSh5MQm0,2015,2540,330.0,0
3t0vtRN2vVk,2015,331420,826.0,3290
5eBZ-iqZ_SY,2015,657,64.0,7
ZBf2OS53f7s,2015,395495,81.0,442
Xh-ycRsNB0U,2015,345170,340.0,3160
oE5DQ4KInOc,2015,140832,227.0,1762
0dCC9jlly0Q,2015,215771,670.0,4596
BCzl2IhkzPw,2015,4907,187.0,16
OL2cKQHPKCE,2015,950627,482.0,10038
jVtfQnJnjvI,2015,3879,227.0,89
9a9YaXupvSM,2015,371731,414.0,4459
jVtfQnJnjvI,2015,3879,227.0,89
HDgYX8Qk_ww,2015,74059,418.0,1173
C7--XdIDNLQ,2015,28795,484.0,833
ezR3KG0zF1A,2015,610089,363.0,11342
ZibHY9--yX0,2015,280,76.0,4
Omg3zkq_e3Y,2015,5482,240.0,133
dasutxEbuHQ,2015,140492,368.0,1923
wxIHybdcFq0,2015,44124,429.0,777
rxOiKAAZudA,2015,231197,285.0,2599
-SxottrtKIA,2015,26830,620.0,522
grCesFnha2U,2015,56360,650.0,972
e4_lynNiEvc,2015,61613,568.0,896
u1ESNnGlgzQ,2015,77654,416.0,1143
rFNJ3izXAiM,2015,32600,344.0,606
PCYIpb-uG70,2015,187301,324.0,2090
rJLfvppKUck,2015,39701,362.0,785
e4_lynNiEvc,2015,61613,568.0,896
ReU2TI22b70,2015,174,7.0,4
ScfNqdBhuBY,2015,287,15.0,2
grCesFnha2U,2015,56360,650.0,972
4VZ92zM6a5E,2015,181915,370.0,3306
17AOd9gmASk,2015,109,46.0,3
FpnAWu_jKb0,2015,4965,1173.0,65
-SxottrtKIA,2015,26830,620.0,522
igJm3HYNmtg,2015,126561,350.0,1695
rJLfvppKUck,2015,39701,362.0,785
2LSh2EFqfZ0,2015,375445,433.0,4023
fR18kRL0RPM,2015,4175,218.0,131
UonChBw-ff8,2015,149013,374.0,2969
4DTZwRK9Tow,2015,931467,315.0,1029
99kTrZ6kXWM,2015,10965,201.0,126
5EA2LKTQ6Ww,2015,19250,128.0,427
CShm9urd0TA,2015,536,226.0,3
-ZQZKOyqHe0,2015,220970,139.0,1221
VpqfGwj4R5M,2015,94160,16.0,119
73WADcBV-qA,2015,1071,1068.0,8
O_fBKCpqGuI,2015,156826,214.0,367
2kEBiYT4-ug,2015,449,1803.0,3
LaQNi6V0l8o,2015,471280,254.0,7037
RZLABK5GeJs,2015,5897,178.0,24
8_dg6I4h7Po,2015,10531,129.0,19
eBORTSTGA_I,2015,1960565,146.0,8845
BOHLZ66a7Xo,2015,82,36.0,9
xHCY1EdSAko,2015,69,47.0,9
ig5dGul8fjw,2015,528,46.0,17
o7ujankqx3Y,2015,157,43.0,13
vjSnMKhgyhA,2015,150746,180.0,1218
Y0Eqrj-PO34,2015,125317,406.0,1641
Cr42CjYkARc,2015,114827,3169.0,827
togd_wYjD5Y,2015,1055076,384.0,37958
kfWxKor32EE,2015,391,22.0,19
3t9vL34OV50,2015,871181,102.0,734
exGiIWSm8lA,2015,197671,198.0,1364
D19XdHzAXhM,2015,214081,278.0,4233
BAi6Kn-yHno,2015,157,10.0,6
igJm3HYNmtg,2015,126561,350.0,1695
9CjMkDpr0qE,2015,796459,707.0,6226
2LSh2EFqfZ0,2015,375445,433.0,4023
UonChBw-ff8,2015,149013,374.0,2969
4DTZwRK9Tow,2015,931467,315.0,1029
daZZG9cZt_c,2015,189264,255.0,1214
99kTrZ6kXWM,2015,10965,201.0,126
xBoCrEswHvQ,2015,1776918,1641.0,11203
vfcpb-kAKfY,2015,121046,245.0,552
woF47zaFU1Q,2015,283141,2775.0,4116
C3gP2PtHVNM,2015,87,10.0,4
cdDxXQcyvZM,2015,41403097,314.0,138537
X1zhuMWx25A,2015,5801,12.0,39
nW6c6aBdrmE,2015,613010,575.0,2210
MG0Jfun7In8,2015,630716,1990.0,17472
eazk9hzniHE,2015,423037,516.0,1706
qVDxwzocWHk,2015,112741,452.0,1349
D0e67R7N3Kc,2015,236786,291.0,2474
Fn9w3Uy7Zdk,2015,103100,211.0,601
BAi6Kn-yHno,2015,157,10.0,6
wpyX-jlDy7o,2015,16525,348.0,90
7vy_-Ss-RJs,2015,46736,1409.0,218
xQuTZxArBzA,2015,450885,850.0,12329
C3gP2PtHVNM,2015,87,10.0,4
X1zhuMWx25A,2015,5801,12.0,39
8GrePgc4cFk,2015,9,30.0,4
AtgWQY7F1rw,2015,2222,39.0,22
NPNRgCnMt1o,2015,598291,142.0,6476
AeWo_N3nUOc,2015,4697485,234.0,38822
JvFbCpUBmlI,2015,29545,62.0,91
Ht05MgkVIEM,2015,2877,30.0,6
kpZwyauUR40,2015,4013668,3149.0,14433
3me5lCehHhc,2016,426273,46.0,43
wfYbgdo8e-8,2016,14491692,298.0,493463
AyC1K-7GfCU,2016,2378635,109.0,16847
wOmjnioNulo,2016,15123982,383.0,397988
iOlAlgsFLN8,2016,3196777,161.0,12962
B03RJGMch-c,2016,3944578,229.0,34477
VDPSAy0iV0M,2016,8833398,373.0,30151
s2R_YleXVzA,2016,1427429,103.0,3411
r4TeOa4liDs,2016,185918,203.0,1451
Ne3sNoO2qZ8,2016,368635,197.0,3383
4ZLXMtOK30s,2016,219742,54.0,22
6hLSQOyjCaA,2016,283893,311.0,5084
VMpwjez84S4,2016,380015,289.0,1471
rStL7niR7gs,2016,20395342,1173.0,567210
075RC6sZfak,2016,189294,147.0,16
TVq73lzjlow,2016,576257,372.0,1587
GBzeOpWQUZk,2016,187219,432.0,2519
zpwRA9KQnWU,2016,8231457,499.0,46505
OT3PVdzcwbU,2016,376319,573.0,7717
PD4LFEhacxg,2016,183846,269.0,3991
34TKv7ZrhD0,2016,479195,501.0,8473
RAHqz7bdFwI,2016,440250,330.0,4568
9FjVeHsHeI8,2016,1445775,908.0,33194
e3WQyvBpzmk,2016,224650,219.0,2524
cuW0pgAR9x0,2016,1818,50.0,68
9KFC1cxkdFQ,2016,1224910,865.0,26596
x-c2xXkTeAw,2016,416707,209.0,4137
HprzRH1E9e8,2016,3183140,643.0,40445
4XwxZnYGqQk,2016,286234,145.0,4127
