ID,Year,View Count,Length (s)
pjAJswDB14s,2013,145004.0,63.0
qMkYlIA7mgw,2013,26994739.0,282.0
T8WpJlaZNZI,2013,34840.0,64.0
KfWNOnns1FM,2013,1814.0,258.0
81pvnaj3EI4,2013,34449.0,36.0
O2hO4_UEe-4,2013,9562648.0,401.0
GOiIxqcbzyM,2013,2397978.0,356.0
int3fI1YQjU,2013,144230.0,79.0
M2gEhJQt6iA,2013,60794.0,59.0
d8-KzVHkMaU,2013,577593.0,287.0
B5lo4zS2scs,2013,134781.0,58.0
_qzMAyBv_Us,2013,30607.0,87.0
4WOJhT9B1ew,2013,158841.0,392.0
n5pVz6yJkIk,2013,2156.0,147.0
vcfU4XpLNfE,2013,1212.0,27.0
h73o_UQq0OI,2013,206072.0,212.0
49FopVS_ZvA,2013,44044.0,37.0
0fjvGLKzfhQ,2013,299924.0,555.0
YIVarZeObQo,2013,1741378.0,411.0
w0ZEpzD1k_k,2013,493783.0,235.0
67P94248F_4,2013,224128.0,211.0
QLjg2R-QBcs,2013,22527.0,50.0
_uNi_go6Z6A,2013,175498.0,133.0
B2TDbNWFRmY,2013,8060.0,164.0
tcmEkjLwtG8,2013,383457.0,49.0
0X3VnZahlIA,2013,1380.0,156.0
LnyE0SzHT_E,2013,32134.0,489.0
0jvSDe_qTo4,2013,317.0,16.0
bCtrgD5Ns7Q,2013,2221.0,196.0
VasPrXAqZNg,2013,183474.0,362.0
OSk7LL5nMgw,2013,69335.0,50.0
xsuxbwdRZz0,2013,45591.0,187.0
EwqJRKn1QXc,2013,548416.0,277.0
WmOupJ9JirU,2013,154766.0,168.0
51jljY1GPAc,2013,201485.0,265.0
9Xas3mPE8aU,2013,3222.0,145.0
BJIZPocqIxU,2013,485.0,35.0
jZLr22O9dDM,2013,526.0,33.0
wFg1I6ciKew,2013,1323.0,70.0
qOpOkLtCDmw,2013,1994.0,150.0
WQtT_tHxFFI,2013,1119.0,138.0
cloifsiON40,2013,255084.0,532.0
5OQgDePAluM,2013,238199.0,208.0
sKpvraF_a9I,2013,3201.0,228.0
cNesA10y9ZY,2013,1335.0,208.0
cVijLHcM5yo,2013,7172.0,284.0
Q-i5J5_shAw,2013,324661.0,137.0
oGSVWC3pC-8,2013,3944.0,266.0
MxY60MtWywA,2013,19203.0,223.0
vMuKoDRFbQs,2013,800197.0,463.0
K1jxqoVYJgA,2013,764.0,219.0
3SM4u0bOlJk,2013,1330.0,249.0
p0YyJRjsQ1Q,2013,463721.0,369.0
ZgQbL0X2u5c,2013,19928.0,294.0
DnH1Zo9M9BQ,2013,1824.0,367.0
-HJK5MswFrs,2013,1515.0,278.0
CfHyJVRGRRs,2013,5178.0,277.0
kemmqFO6yrU,2013,3899.0,479.0
o4Y4wvzVQk4,2013,580.0,172.0
Hpm7fZ_JOTY,2013,350.0,194.0
BFGeY_XwI0Q,2013,15672.0,19.0
KkvjnXNLfP8,2013,666.0,38.0
ercfS9AaypA,2013,327.0,37.0
FGxZ38uPVCg,2013,2761.0,41.0
lhhh3In3IAo,2013,555.0,35.0
o4Y4wvzVQk4,2013,580.0,172.0
Hpm7fZ_JOTY,2013,350.0,194.0
B1c6fLErrKU,2013,400.0,51.0
H1sU2QRms2Q,2013,272.0,17.0
FGxZ38uPVCg,2013,2761.0,41.0
lhhh3In3IAo,2013,555.0,35.0
H1sU2QRms2Q,2013,272.0,17.0
B1c6fLErrKU,2013,400.0,51.0
BO5kbFt1Q2s,2013,237967.0,543.0
4jQF_FUevhY,2013,862.0,21.0
BO5kbFt1Q2s,2013,237967.0,543.0
4jQF_FUevhY,2013,862.0,21.0
thWqreAj0QA,2013,24681.0,120.0
cXX1VvBRaNQ,2013,417.0,35.0
nxbXSxCv2PM,2013,323.0,26.0
int3fI1YQjU,2013,144230.0,79.0
ERFyHc8AeZ0,2013,3087.0,148.0
OIcPjHtHyZo,2013,6875.0,158.0
C_z6Q_96LZo,2013,745.0,42.0
KT1UlytKtQU,2013,389.0,21.0
A6KLL8JDa0E,2013,1053.0,43.0
vz_HsQ1VOjM,2013,175413.0,417.0
-xva6lwpYJI,2013,4504.0,226.0
bgWajV_BRvc,2013,224096.0,292.0
zHtw-7z3S5k,2013,3076.0,228.0
4S6AyUBLM9I,2013,9592.0,219.0
FD2MroMsvdA,2013,40768.0,427.0
1jiBRFJvPck,2013,795.0,172.0
Fqzrpr2lgkY,2013,2764.0,192.0
hwNhI4jCeOk,2013,9359.0,720.0
O0LdTjxTCWU,2013,5363.0,204.0
U2w3MpYXS0M,2013,5534.0,235.0
WmLdqQ_oHY4,2013,63988.0,482.0
sDmyh9LEqhQ,2013,9710.0,577.0
5w9mKiZSadA,2013,2627.0,224.0
iA_X5gWAn_I,2013,638.0,40.0
N7GTBRWJHiA,2013,15671.0,190.0
bMNeAGDn1x4,2013,26001.0,1261.0
An4jHj7qXDo,2013,319431.0,1676.0
zaA0Nvc3ouw,2013,966.0,9.0
lcIBq9ieXBA,2013,35547.0,1242.0
KjntcCXYcN8,2013,415364.0,543.0
TpyZye5shdY,2013,1099.0,51.0
-us91rnYxVM,2013,2844.0,190.0
QXW9wfOQV9k,2013,1539.0,56.0
7r8o3FlcdAA,2013,1062.0,51.0
mHHN1f88Kdc,2013,1022.0,37.0
HmcXO1S9bIk,2013,684.0,24.0
XqU4teWm4es,2013,76.0,219.0
CMeOyi4V58U,2013,1267.0,21.0
um6vvJ5FOc0,2013,685.0,275.0
hjo7f6DYXZw,2013,1331.0,308.0
Qf_VBwsdRhc,2013,606.0,50.0
BDiyZ2vqna8,2013,1034.0,10.0
PM79Epw_cp8,2014,6700171.0,240.0
B_02SdGwBv4,2014,8648.0,122.0
5mMAGcZaItg,2014,545670.0,259.0
-KEYShtGbJQ,2014,167544.0,283.0
7ICWL_0kjDI,2014,189625.0,203.0
eX7fRHA3NJU,2014,214549.0,304.0
adgiFKJKHLc,2014,12694.0,216.0
semyy_C-Nts,2014,277701.0,215.0
3EVTUxJtiGk,2014,2181.0,124.0
5VolhQCqq9c,2014,2864.0,64.0
wVXpHwgPHL0,2014,1062.0,155.0
REP-0BdMH64,2014,179404.0,268.0
kCoXkjWL0dQ,2014,1460.0,120.0
oTcbkAo7V-o,2014,169286.0,193.0
QQDXDMwUJiA,2014,5595.0,58.0
yFZ_HAj7WuU,2014,2080.0,152.0
XuI6N4OmNcw,2014,5427.0,166.0
g4HJwLnPQAE,2014,7602.0,64.0
-5DMlABmcZ8,2014,1785.0,159.0
cDoijouB1SE,2014,168519.0,415.0
rP1LeyN90D8,2014,1233.0,71.0
WIH-JoPCSiM,2014,12148.0,161.0
6X_6hding1k,2014,2503283.0,514.0
5FtUg5THk9Y,2014,698.0,40.0
Nr9S_qN232Y,2014,250.0,9.0
qwYDXwg4A7M,2014,258.0,133.0
iCj8WbLyhT0,2014,41895.0,49.0
29m4wuC-lLA,2014,393123.0,557.0
618NtOqlGDc,2014,8852.0,149.0
wv55awOg7o4,2014,4209.0,46.0
j7PfxbPaB8g,2014,25971.0,143.0
BMjTNbK_5bs,2014,213.0,33.0
YrZBGnIeoMs,2014,5134.0,174.0
JX1ebvqMjOw,2014,97.0,162.0
29m4wuC-lLA,2014,393123.0,557.0
C5ekagH8wJ8,2014,9105.0,158.0
Zk7WEK4Rkzk,2014,1529.0,89.0
AGF3RHnnueE,2014,1827.0,34.0
ZB8pm3IfAKw,2014,569.0,160.0
aEBK1r5fLp8,2014,468.0,266.0
nbaSMFNDybk,2014,4332.0,71.0
dsZ5fLVMLfI,2014,373.0,102.0
f0n_BRrlsVg,2014,4138.0,194.0
wL6pWXmm9H8,2014,3121681.0,755.0
Czpjr1RdsHk,2014,130147.0,290.0
rij-vUFqhcU,2014,386.0,219.0
_3xX4T8_SSY,2014,975.0,94.0
Rl9ukSfBSlQ,2014,1039.0,94.0
WUA02xHl-lY,2014,271674.0,741.0
PXht1CzxI9Y,2014,375.0,443.0
_BJ9mGvFsG4,2014,778.0,295.0
wjIMWuBSvLA,2014,7646.0,320.0
IWnjbfzhAes,2014,527364.0,232.0
MH0xIFFjK34,2014,15641.0,1009.0
-bR4WddD2_A,2014,890.0,184.0
D8lYPLwprYg,2014,172.0,67.0
DGmn6iJslFI,2014,679.0,1252.0
ND8klKj-Z_k,2014,9490.0,56.0
z93kCj-E3X8,2014,495.0,311.0
poEzICSDJ_c,2014,489.0,1707.0
HgskGnilqAE,2014,286.0,271.0
d9AuP5jwvKc,2014,2768.0,35.0
I6KfzbqbFU8,2014,13535.0,7.0
4kLNfIRejXM,2014,726.0,47.0
-LRBROIfLPM,2014,2923.0,55.0
fkCTW-kjtFs,2014,378685.0,148.0
Uweh7fo2ZOE,2014,363470.0,582.0
wUia0wo5Yc0,2014,603.0,40.0
cgE_2XylOCk,2014,369733.0,116.0
vSeV6FroxlY,2014,262.0,49.0
IeH4OPLpZms,2014,3963.0,309.0
BNG4qfYt9Jg,2014,652.0,168.0
5ib0U5ws8gc,2014,252.0,60.0
zKy7a9xlCVQ,2014,322.0,202.0
1STZr_FpHl4,2014,300119.0,801.0
zKy7a9xlCVQ,2014,322.0,202.0
6lpWehZGr9E,2014,1133.0,298.0
bjq8eGHbiCg,2014,6181.0,240.0
ZTvcmh5tuVI,2014,533.0,105.0
gkKWCHK-2MA,2014,470.0,38.0
iLagcAx5TLI,2014,7135.0,91.0
LL6XmZKgJmY,2014,1094.0,3042.0
Qpwd4ExncyM,2014,6079.0,12.0
ozlWGMd1GpQ,2014,61862.0,1515.0
sT71Ia1d7VU,2014,2162.0,119.0
jGh85xiQ6AY,2014,6756.0,163.0
GUrlIwyr0vA,2014,419.0,59.0
676Fl3nwn2k,2014,1314.0,153.0
86Yp6-xc6xw,2014,469517.0,214.0
HRw1eNERqyA,2014,2017.0,173.0
EiN8TOjq1es,2014,843.0,193.0
xX81Hanv4yg,2014,1170.0,219.0
Hc4tivUU4VA,2014,10613.0,608.0
JbaLQL--7_w,2014,3969.0,651.0
Q5uZ4Yxjp3Q,2014,1511.0,213.0
MgXFhLVV6QE,2014,459.0,295.0
RKt7Jzbds80,2014,667345.0,603.0
efMX9GAkCoA,2014,687.0,310.0
PwqPEFqGf10,2014,511373.0,1236.0
-OSbNQqnCV8,2014,2197.0,896.0
MBgfJW0dUz8,2014,14193.0,777.0
DEA6IuPSP40,2014,1354.0,1235.0
r3OUGGF7RFw,2014,379.0,274.0
RUP69rV-1PI,2014,7342.0,101.0
d3FzG7jui3E,2014,428250.0,659.0
CeABOIb_18k,2014,4817.0,53.0
fnV6QCa-eHc,2014,15149.0,2483.0
zkrf31G1iBE,2014,4178.0,39.0
r7__jtu877E,2014,89861.0,2244.0
ZnJbbfWkD3I,2014,2188.0,17.0
keuhyaq1bDo,2014,31349.0,719.0
cgtaaKqvj6Q,2014,644729.0,832.0
VrbqcbdkULQ,2014,162330.0,187.0
GxnURM0LaCQ,2014,312.0,55.0
HZ3kQIYoUsg,2014,447.0,30.0
1h5mFH3RRV8,2014,1698.0,40.0
floM739jj08,2014,397.0,24.0
cfSqvizzTyo,2014,13102101.0,580.0
NNFsCFi6yR4,2014,6271.0,20.0
qpj87cKaNh0,2015,965489.0,626.0
e3F3nzkzRnE,2015,1530292.0,165.0
ptMkEQhtEew,2015,38072.0,153.0
HH9niGE773o,2015,4328.0,159.0
iYfb1kcuJTA,2015,9967.0,161.0
Op-9YvHpVjA,2015,255066.0,156.0
s9_nyrZu7z8,2015,1267.0,88.0
GZqTrNwL2Dc,2015,3709.0,101.0
dreqaEMtRj4,2015,11340.0,93.0
cX4-UBFNBsA,2015,275756.0,360.0
3WPULoD-5Gs,2015,165563.0,366.0
G-D0JQ2aZ5c,2015,4901539.0,533.0
UvfCOOMhQ2o,2015,1518.0,112.0
xu_mRAU14dA,2015,29876.0,78.0
YsPMi8qNevo,2015,6672.0,76.0
FeHwdyvvJ-w,2015,208730.0,371.0
kn0NnPQ6wBQ,2015,6288.0,204.0
zw9n-LOxLwU,2015,1216.0,68.0
Dbg4QV_Q_c4,2015,1209391.0,548.0
xR8gIMCMygM,2015,147701.0,47.0
0kwZfQvhDvk,2015,261402.0,636.0
2fxOocW7wcw,2015,1312.0,281.0
5hkOUMJqw5c,2015,1502.0,115.0
-kVWc2yZclM,2015,1097919.0,237.0
bTVBqUFcnuM,2015,1585.0,211.0
sQKlrlgSQ14,2015,613338.0,155.0
Wgj4Z5TXv_E,2015,23644.0,232.0
ft-bMk4ji6E,2015,111042.0,332.0
cxtdtuNXMWI,2015,868671.0,377.0
rCxUpFU6QYA,2015,379440.0,722.0
hPnTS71H4HA,2015,6552.0,141.0
_3ZBoAEbO_Q,2015,500.0,411.0
oE5DQ4KInOc,2015,140832.0,227.0
zPTz04wQFFU,2015,1258.0,678.0
BCzl2IhkzPw,2015,4907.0,187.0
hPnTS71H4HA,2015,6552.0,141.0
_3ZBoAEbO_Q,2015,500.0,411.0
0qcUryastNU,2015,782678.0,315.0
oE5DQ4KInOc,2015,140832.0,227.0
zPTz04wQFFU,2015,1258.0,678.0
BCzl2IhkzPw,2015,4907.0,187.0
Xh-ycRsNB0U,2015,345170.0,340.0
rwbIJde9P48,2015,1017.0,751.0
jVtfQnJnjvI,2015,3877.0,227.0
bfsGJqWZXA8,2015,239489.0,455.0
2ZJNrNYyqgM,2015,8581.0,105.0
HDgYX8Qk_ww,2015,74059.0,418.0
Y0Eqrj-PO34,2015,125316.0,406.0
uua6Qz3v8Fk,2015,2927.0,119.0
C7--XdIDNLQ,2015,28795.0,484.0
kkQhqIkEvKM,2015,586.0,1503.0
zOrpgLDYDKQ,2015,8403.0,118.0
D19XdHzAXhM,2015,214079.0,278.0
rxOiKAAZudA,2015,231197.0,285.0
dasutxEbuHQ,2015,140490.0,368.0
_dwXiFIBYQY,2015,438.0,533.0
eBORTSTGA_I,2015,1960487.0,146.0
wxIHybdcFq0,2015,44124.0,429.0
PCYIpb-uG70,2015,187298.0,324.0
rFNJ3izXAiM,2015,32600.0,344.0
u1ESNnGlgzQ,2015,77655.0,416.0
cFi9d8dJ8kg,2015,10192.0,291.0
7UoVSuEd5FM,2015,307.0,11.0
6_2Qev6OruE,2015,188.0,24.0
e4_lynNiEvc,2015,61613.0,568.0
ReU2TI22b70,2015,174.0,7.0
BdDWe_r_QuE,2015,412.0,15.0
eK_IDtNap6U,2015,55787.0,373.0
ScfNqdBhuBY,2015,287.0,15.0
grCesFnha2U,2015,56359.0,650.0
a1JGMlBIMXs,2015,440050.0,13.0
_Oe7iD3ohQs,2015,84.0,48.0
8WhzhrgdO-c,2015,374031.0,402.0
igJm3HYNmtg,2015,126557.0,350.0
rJLfvppKUck,2015,39700.0,362.0
fR18kRL0RPM,2015,4175.0,218.0
kXqmpZLpCR0,2015,81.0,60.0
sy4JeXDj36Q,2015,377.0,14.0
99kTrZ6kXWM,2015,10964.0,201.0
5EA2LKTQ6Ww,2015,19250.0,128.0
99kTrZ6kXWM,2015,10964.0,201.0
5EA2LKTQ6Ww,2015,19250.0,128.0
AW8yaKnPJ-E,2015,700.0,48.0
Rvy1TJqo4I4,2015,11219.0,156.0
BVxphG8T2ag,2015,448.0,121.0
BdnLI_7aoBU,2015,1703.0,133.0
pDXgwiEkEnY,2015,2835.0,120.0
aVp685Yna-w,2015,78645.0,57.0
4KXXqa4_bKk,2015,3908.0,174.0
ypFECpfvBLg,2015,4347.0,45.0
vfcpb-kAKfY,2015,120968.0,245.0
xBoCrEswHvQ,2015,1776686.0,1641.0
lJoAYUKFMow,2015,6361.0,181.0
daZZG9cZt_c,2015,189254.0,255.0
-D6aReRZ7wc,2015,51192.0,268.0
xxKxtNoTcKs,2015,262627.0,157.0
cdDxXQcyvZM,2015,41396755.0,314.0
-pBjaEtujME,2015,10650.0,274.0
M4lBLx1nddE,2015,13708.0,226.0
3Tgx5STamzE,2015,35823.0,244.0
g0QGexU9DVI,2015,12783.0,418.0
CShm9urd0TA,2015,536.0,226.0
-gxdh_EJBy4,2015,1068.0,449.0
qaqVukaiGmQ,2015,729792.0,491.0
73WADcBV-qA,2015,1071.0,1068.0
lZm7Ngmb7Vk,2015,429.0,1027.0
eazk9hzniHE,2015,423023.0,516.0
ZjTDXtKhgBo,2015,3616.0,306.0
qVDxwzocWHk,2015,112741.0,452.0
D0e67R7N3Kc,2015,236786.0,291.0
nW6c6aBdrmE,2015,613007.0,575.0
YQPyxHbboBs,2015,60330.0,691.0
at1euMCx38o,2015,78399.0,695.0
V2wlsx6spts,2015,116840.0,489.0
0BEF37wn0lc,2015,720250.0,394.0
C3gP2PtHVNM,2015,87.0,10.0
UkFrQuEDIrw,2015,51.0,7.0
X1zhuMWx25A,2015,5801.0,12.0
HfDIquvrNwo,2015,904.0,48.0
F1CKla0X1PQ,2015,58.0,16.0
8GrePgc4cFk,2015,9.0,30.0
AtgWQY7F1rw,2015,2222.0,39.0
AeWo_N3nUOc,2015,4697444.0,234.0
JvFbCpUBmlI,2015,29545.0,62.0
Ht05MgkVIEM,2015,2876.0,30.0
Mj41KvZJct8,2015,29294.0,37.0
kpZwyauUR40,2015,4013494.0,3149.0
wfYbgdo8e-8,2016,14485952.0,298.0
AyC1K-7GfCU,2016,2378600.0,109.0
wOmjnioNulo,2016,15114091.0,383.0
B03RJGMch-c,2016,3944298.0,229.0
mXWvKHWe2Co,2016,1514589.0,143.0
a5KYlHNKQB8,2016,3447015.0,315.0
LUL1nnxUz_c,2016,1218448.0,302.0
aC2hKamhnsg,2016,1381632.0,194.0
sByzHoiYFX0,2016,4191553.0,384.0
_2LLXnUdUIc,2016,6171559.0,392.0
GFETF6Cpl18,2016,994.0,42.0
UJBCanWJD0k,2016,2097788.0,253.0
kw_udjD2xwo,2016,1936304.0,323.0
Av8aC8woZ1w,2016,5517.0,200.0
zTdUTSuDAXQ,2016,1481557.0,486.0
dE10sMu2f20,2016,678826.0,594.0
rStL7niR7gs,2016,20389590.0,1173.0
TVq73lzjlow,2016,574791.0,372.0
OT3PVdzcwbU,2016,376307.0,573.0
9FjVeHsHeI8,2016,1445748.0,908.0
9KFC1cxkdFQ,2016,1224892.0,865.0
HprzRH1E9e8,2016,3183106.0,643.0
y-ynB5Vw3Bc,2016,977127.0,671.0
NqdzWkcXbbg,2016,32319.0,112.0
oKKSPXk4hqA,2016,3105443.0,862.0
NFBfbLCZ504,2016,471694.0,143.0
2odXx11l7S4,2016,77028.0,202.0
l75Iwvf0LEg,2016,801742.0,718.0
ih18qoBmusw,2016,1312869.0,686.0
V_gy0ayT2us,2016,1526154.0,829.0
XNMLtLO4Tbc,2016,3512600.0,707.0
0GWHoiaaaMs,2016,27636.0,285.0
Kjzg41Urmf0,2016,213058.0,459.0
oXbyx0ZK628,2016,504013.0,577.0
0YJ1B8NL9tU,2016,9981.0,249.0
Qp2uw39WiDI,2016,56012.0,139.0
ia5tj9-V4Ss,2016,203065.0,928.0
IvbGeWZSvMg,2016,230765.0,174.0
Vv3fyPfWYiI,2016,223826.0,506.0
14sL_KF943g,2016,132937.0,998.0
2oASyiFcDUU,2016,5823566.0,311.0
LIjg1e3Aw5A,2016,212029.0,1179.0
ZosO9bG4PqA,2016,251502.0,248.0
JnZl5Ww7V_E,2016,295121.0,372.0
4zQjSnPQDpQ,2016,961782.0,697.0
Qp2uw39WiDI,2016,56012.0,139.0
IvbGeWZSvMg,2016,230765.0,174.0
HIql3fyNc7s,2016,282912.0,846.0
zL2SBpJbfHk,2016,575605.0,436.0
14sL_KF943g,2016,132937.0,998.0
EpZ4T_hTzNM,2016,429798.0,491.0
_AKd115m3Cg,2016,217045.0,429.0
ZosO9bG4PqA,2016,251502.0,248.0
4zQjSnPQDpQ,2016,961782.0,697.0
p_ef4egLk3U,2016,327817.0,506.0
vOeh1vpDMnw,2016,219341.0,386.0
ReuweXgAx1M,2016,891875.0,790.0
7LwK8qssNLA,2016,6118.0,470.0
vtj_NxbBIWE,2016,460033.0,730.0
cL0eB4AClwE,2016,341908.0,507.0
90G9AvX_brI,2016,508151.0,208.0
NSQheb4UCbk,2016,813.0,1101.0
IkMB8j3QSvE,2016,813050.0,803.0
0K9Jc7YpHsA,2016,998482.0,845.0
b9VkB9udpfg,2016,600916.0,612.0
MPZiKq29jKQ,2016,231235.0,256.0
ip2O5A2-ses,2016,1327.0,31.0
S1yH7T3dCok,2016,654758.0,1143.0
DXn_lX09KKM,2016,9085.0,813.0
_XZcpidA8Ok,2016,305641.0,1079.0
EQw8RYrpmf0,2016,612132.0,676.0
RqYS5BfnYiw,2016,2467425.0,1109.0
HIL_kc8xnl0,2016,544991.0,841.0
r1eFuhKQ3Tc,2016,33284.0,762.0
6aQUfcrHUME,2016,57606453.0,523.0
PK8zzdh2h80,2016,1129314.0,226.0
-8WELAuW7_4,2016,50560.0,574.0
FTb6LIWirIw,2016,28901.0,367.0
UIE9gh8MD3w,2016,576379.0,704.0
ip2O5A2-ses,2016,1327.0,31.0
HgmyksLaccU,2016,79871.0,60.0
AyU6pcyqTsk,2016,120.0,3155.0
zI4XVEzUiFw,2016,251197.0,826.0
1mqolVHW84k,2016,1294442.0,572.0
JQNwQjjPvCE,2016,1524.0,50.0
L6l0xTHYBEA,2016,881.0,24.0
6U_IMCqs_mI,2016,778533.0,669.0
ZKTXB00-SXY,2016,241.0,3428.0
ksBoKljnt7E,2016,347624.0,947.0
pi_O03ySdac,2016,49929.0,331.0
So3MrIQXCm8,2016,274649.0,365.0
nMzDPL-1u88,2016,1309421.0,701.0
o327gPZA2x8,2016,709.0,54.0
TSrzHYqMdhg,2016,1570.0,31.0
